date,hour,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipAccumulation
2018-11-01,0,1541048400,Overcast,cloudy,0.0014,0.05,rain,50.6,50.6,40.06,0.67,1014.7,3.37,4.23,14,0.98,0,10.0,290.8,
2018-11-01,1,1541052000,Overcast,cloudy,0.0019,0.06,rain,50.47,50.47,39.1,0.65,1014.1,3.44,5.31,325,1.0,0,10.0,289.5,
2018-11-01,2,1541055600,Overcast,cloudy,0.0012,0.05,rain,49.54,48.09,38.92,0.67,1014.1,4.35,7.0,345,1.0,0,10.0,289.1,
2018-11-01,3,1541059200,Overcast,cloudy,0.0015,0.05,rain,49.79,47.39,38.98,0.66,1013.8,6.06,11.31,6,1.0,0,10.0,289.0,
2018-11-01,4,1541062800,Overcast,cloudy,0.0005,0.04,rain,49.93,46.49,38.13,0.64,1013.3,8.51,13.13,20,0.99,0,10.0,289.1,
2018-11-01,5,1541066400,Overcast,cloudy,0.0,0.0,,49.88,45.54,38.46,0.65,1012.7,11.1,19.64,41,0.99,0,10.0,289.7,
2018-11-01,6,1541070000,Overcast,cloudy,0.0002,0.05,rain,50.02,50.02,39.1,0.66,1012.8,10.93,12.91,46,1.0,0,10.0,290.6,
2018-11-01,7,1541073600,Overcast,cloudy,0.0003,0.03,rain,50.68,50.68,39.75,0.66,1012.3,11.11,12.23,51,1.0,0,10.0,293.9,
2018-11-01,8,1541077200,Overcast,cloudy,0.0009,0.08,rain,50.9,50.9,40.14,0.67,1012.2,11.48,11.86,54,1.0,0,10.0,295.1,
2018-11-01,9,1541080800,Overcast,cloudy,0.0,0.0,,49.81,46.31,40.55,0.7,1012.3,8.55,12.8,55,1.0,0,10.0,296.2,
2018-11-01,10,1541084400,Overcast,cloudy,0.0,0.0,,51.04,51.04,40.1,0.66,1011.9,10.81,11.93,53,1.0,1,10.0,297.3,
2018-11-01,11,1541088000,Overcast,cloudy,0.0012,0.11,rain,51.34,51.34,40.02,0.65,1011.3,11.78,12.99,54,1.0,2,10.0,298.0,
2018-11-01,12,1541091600,Overcast,cloudy,0.001,0.1,rain,51.24,51.24,40.13,0.66,1010.5,9.41,13.6,49,1.0,2,10.0,298.8,
2018-11-01,13,1541095200,Overcast,cloudy,0.0,0.0,,49.71,45.99,39.6,0.68,1009.8,9.08,13.57,42,0.88,2,10.0,303.9,
